Hoy, 7/24/2026 8:19:25 AM;C:\Users\V\Downloads\output_0.exe;output_0.exe;C:\Users\V\Downloads;Archivo;Detectados;Objeto malicioso detectado;Detectados;VHO:Backdoor.Win64.Meterpreter.avw;Troyano;Alta;Exacta;Microsoft Windows Search Protocol Host;SearchProtocolHost.exe;C:\Windows\System32\SearchProtocolHost.exe;C:\Windows\System32;4320;NT AUTHORITY\SYSTEM;Usuario del sistema;Protección en la nube
Hoy, 7/24/2026 8:37:58 AM;C:\Users\V\Downloads\output_0.exe;output_0.exe;C:\Users\V\Downloads;Archivo;Detectados;Objeto malicioso detectado;Detectados;UDS:Backdoor.Win64.Meterpreter;Troyano;Alta;Exacta;Windows Explorer;explorer.exe;C:\Windows\explorer.exe;C:\Windows;6092;TFM-VI\V;Iniciador;Protección en la nube
Hoy, 7/24/2026 8:38:23 AM;C:\Users\V\Downloads\output_0.exe;output_0.exe;C:\Users\V\Downloads;Archivo;Eliminado;Objeto eliminado;Eliminado;UDS:Backdoor.Win64.Meterpreter;Troyano;Alta;Exacta;Windows Explorer;explorer.exe;C:\Windows\explorer.exe;C:\Windows;6092;TFM-VI\V;Iniciador;
Hoy, 7/24/2026 8:38:23 AM;C:\Users\V\Downloads\output_0.exe;output_0.exe;C:\Users\V\Downloads;Archivo;Copia de seguridad creada;Se ha creado una copia de seguridad del objeto;Copia de seguridad creada;UDS:Backdoor.Win64.Meterpreter;Troyano;Alta;Exacta;Windows Explorer;explorer.exe;C:\Windows\explorer.exe;C:\Windows;6092;TFM-VI\V;Iniciador;
Hoy, 7/24/2026 8:39:58 AM;C:\Users\V\Downloads\output_0.exe;output_0.exe;C:\Users\V\Downloads;Archivo;Detectados;Objeto malicioso detectado;Detectados;UDS:Backdoor.Win64.Meterpreter;Troyano;Alta;Exacta;Windows Explorer;explorer.exe;C:\Windows\explorer.exe;C:\Windows;6092;TFM-VI\V;Iniciador;Protección en la nube
Hoy, 7/24/2026 8:40:25 AM;C:\Users\V\Downloads\output_0.exe;output_0.exe;C:\Users\V\Downloads;Archivo;Eliminado;Objeto eliminado;Eliminado;UDS:Backdoor.Win64.Meterpreter;Troyano;Alta;Exacta;Windows Explorer;explorer.exe;C:\Windows\explorer.exe;C:\Windows;6092;TFM-VI\V;Iniciador;
Hoy, 7/24/2026 8:40:25 AM;C:\Users\V\Downloads\output_0.exe;output_0.exe;C:\Users\V\Downloads;Archivo;Copia de seguridad creada;Se ha creado una copia de seguridad del objeto;Copia de seguridad creada;UDS:Backdoor.Win64.Meterpreter;Troyano;Alta;Exacta;Windows Explorer;explorer.exe;C:\Windows\explorer.exe;C:\Windows;6092;TFM-VI\V;Iniciador;
Hoy, 7/24/2026 7:33:15 AM;;;;;;Tarea iniciada;;;;;;;avp.exe;C:\Program Files (x86)\Kaspersky Lab\Kaspersky 21.24\avp.exe;C:\Program Files (x86)\Kaspersky Lab\Kaspersky 21.24;;NT AUTHORITY\SYSTEM;Usuario del sistema;
Hoy, 7/24/2026 7:48:25 AM;;;;;;Tarea iniciada;;;;;;;avp.exe;C:\Program Files (x86)\Kaspersky Lab\Kaspersky 21.24\avp.exe;C:\Program Files (x86)\Kaspersky Lab\Kaspersky 21.24;;NT AUTHORITY\SYSTEM;Usuario del sistema;
Hoy, 7/24/2026 8:25:02 AM;;;;;;Tarea iniciada;;;;;;;avp.exe;C:\Program Files (x86)\Kaspersky Lab\Kaspersky 21.24\avp.exe;C:\Program Files (x86)\Kaspersky Lab\Kaspersky 21.24;;NT AUTHORITY\SYSTEM;Usuario del sistema;
Hoy, 7/24/2026 8:30:35 AM;;;;;;Tarea iniciada;;;;;;;avp.exe;C:\Program Files (x86)\Kaspersky Lab\Kaspersky 21.25\avp.exe;C:\Program Files (x86)\Kaspersky Lab\Kaspersky 21.25;;TFM-VI\V;Usuario activo;
