header,primary_lib,lib_name,resolved_funcs,total_prototypes,other_libs
stdio.h,libmsvcrt.a,msvcrt,25,25,
stdlib.h,libmsvcrt.a,msvcrt,30,30,
string.h,libmsvcrt.a,msvcrt,20,20,
math.h,libm.a,m,50,50,
time.h,libmsvcrt.a,msvcrt,16,16,
ctype.h,libmsvcrt.a,msvcrt,13,13,
memory.h,libmsvcrt.a,msvcrt,6,6,
assert.h,libmsvcrt.a,msvcrt,1,1,
limits.h,libmsvcrt.a,msvcrt,0,0,
float.h,libmsvcrt.a,msvcrt,0,0,
aclapi.h,libadvapi32.a,advapi32,49,49,
adshlp.h,libactiveds.a,activeds,22,23,adsldpc(10)
agtsvr.h,libkernel32.a,kernel32,1,328,
appmgmt.h,libadvapi32.a,advapi32,7,7,
appmodel.h,libkernel32.a,kernel32,33,57,windowsapp(5)
asptlb.h,libwinpthread.a,winpthread,1,192,pthread(1);mingw32(1);kernel32(1);mingwex(1)
authz.h,libauthz.a,authz,33,33,
avrt.h,libavrt.a,avrt,14,14,
azroles.h,libadvapi32.a,advapi32,1,433,
bcrypt.h,libbcrypt.a,bcrypt,53,53,ncrypt(51);ksecdd(35)
bluetoothapis.h,libbthprops.a,bthprops,30,30,bluetoothapis(25)
callobj.h,libole32.a,ole32,2,61,
certcli.h,libgdi32.a,gdi32,1,37,
certview.h,libadsldpc.a,adsldpc,1,63,
cfgmgr32.h,libcfgmgr32.a,cfgmgr32,201,202,setupapi(200)
clfs.h,libclfsw32.a,clfsw32,4,4,
clfsmgmtw32.h,libclfsw32.a,clfsw32,7,7,
clfsw32.h,libclfsw32.a,clfsw32,43,43,
cluadmex.h,libgdi32.a,gdi32,1,52,
clusapi.h,libclusapi.a,clusapi,127,127,
cluscfgserver.h,libcmutil.a,cmutil,1,538,
commapi.h,libkernel32.a,kernel32,18,18,
commctrl.h,libcomctl32.a,comctl32,108,111,
commdlg.h,libcomdlg32.a,comdlg32,21,21,
commoncontrols.h,libcomctl32.a,comctl32,1,1,
comsvcs.h,libktmw32.a,ktmw32,1,795,kernel32(1)
cryptxml.h,libcryptxml.a,cryptxml,17,17,
d2d1.h,libd2d1.a,d2d1,5,5,
d3d10effect.h,libd3d10.a,d3d10,12,12,
d3d10misc.h,libd3d10.a,d3d10,3,3,
d3d10shader.h,libd3d10.a,d3d10,10,10,
d3d11.h,libd3d11.a,d3d11,1,1,
d3d8.h,libd3d8.a,d3d8,1,1,
d3d9.h,libd3d9.a,d3d9,9,9,
d3dcompiler.h,libd3dcompiler.a,d3dcompiler,16,16,d3dcompiler_47(16);d3dcompiler_46(15);d3dcompiler_43(11);d3dcompiler_40(9);d3dcompiler_41(9);d3dcompiler_42(9);d3dcompiler_37(3);d3dcompiler_38(3);d3dcompiler_39(3);d3dcompiler_35(3);d3dcompiler_36(3);d3dcompiler_33(3);d3dcompiler_34(3)
d3drm.h,libd3drm.a,d3drm,1,1,
d3drmdef.h,libd3drm.a,d3drm,20,20,
d3dx9anim.h,libd3dx9_38.a,d3dx9_38,14,14,d3dx9_35(14);d3dx9(14);d3dx9_28(14);d3dx9_25(14);d3dx9_24(14);d3dx9_27(14);d3dx9_36(14);d3dx9_30(14);d3dx9_33(14);d3dx9_40(14);d3dx9_43(14);d3dx9_31(14);d3dx9_32(14);d3dx9_26(14);d3dx9_29(14);d3dx9_39(14);d3dx9_37(14);d3dx9_42(14);d3dx9_34(14);d3dx9_41(14);d3dx9d(12)
d3dx9core.h,libd3dx9_38.a,d3dx9_38,11,11,d3dx9_35(11);d3dx9(11);d3dx9_28(11);d3dx9_25(11);d3dx9_24(11);d3dx9_27(11);d3dx9_36(11);d3dx9_30(11);d3dx9_33(11);d3dx9_40(11);d3dx9_43(11);d3dx9_31(11);d3dx9_32(11);d3dx9_26(11);d3dx9_29(11);d3dx9_39(11);d3dx9_37(11);d3dx9_42(11);d3dx9_34(11);d3dx9_41(11);d3dx9d(5);d3dx8d(3)
d3dx9effect.h,libd3dx9_38.a,d3dx9_38,17,17,d3dx9_35(17);d3dx9(17);d3dx9_28(17);d3dx9_25(17);d3dx9_24(17);d3dx9_27(17);d3dx9_36(17);d3dx9_30(17);d3dx9_33(17);d3dx9_40(17);d3dx9_43(17);d3dx9_31(17);d3dx9_32(17);d3dx9_26(17);d3dx9_29(17);d3dx9_39(17);d3dx9_37(17);d3dx9_42(17);d3dx9_34(17);d3dx9_41(17);d3dx9d(11);d3dx8d(5)
